#,单词,音标,解释,笔记
26,"agitated","英:/'ædʒɪteɪtɪd/ 美:/'ædʒɪtetɪd/","该版本不支持扩展词库。购买专业版",
27,"ailing","英:/'eɪlɪŋ/ 美:/'elɪŋ/","该版本不支持扩展词库。购买专业版",
28,"airy","英:/'eərɪ/ 美:/'ɛri/","该版本不支持扩展词库。购买专业版",
29,"akin","英:/ə'kɪn/ 美:/ə'kɪn/","该版本不支持扩展词库。购买专业版",
30,"albeit","英:/ɔːl'biːɪt/ 美:/ˌɔl'biɪt/","conj. 即使；虽然",
31,"algorithm","英:/'ælgərɪð(ə)m/ 美:/'ælgə'rɪðəm/","n. 运算法则

形容词:  
algorithmic",
32,"allowance","英:/ə'laʊəns/ 美:/ə'laʊəns/","n. 津贴, 补助, 零用钱

时 态:  
allowanced, allowancing, allowances",
33,"alluring","/ə'l(j)ʊərɪŋ/","该版本不支持扩展词库。购买专业版",
34,"ally","英:/'ælaɪ/ 美:/ə'laɪ/","该版本不支持扩展词库。购买专业版",
35,"alternative","英:/ɔːl'tɜːnətɪv/ 美:/ɔl'tɝnətɪv/","- adj. 两者择一的, 供替代的
- 不寻常的, 非传统性的
- 非正统的
- n. 取舍, 抉择, 可供选择的事物
- 选择的余地, 可供选择的机会

副 词:  
alternatively",
36,"altogether","英:/ɔːltə'geðə/ 美:/ˌɔltə'ɡɛðɚ/","- adv. 全部地, 完全地
- 总共
- 总而言之",
37,"amalgam","英:/ə'mælgəm/ 美:/ə'mælɡəm/","该版本不支持扩展词库。购买专业版",
38,"amalgamate","英:/ə'mælgəmeɪt/ 美:/ə'mælɡəmet/","- vt. & vi. (使)(金属)汞齐化
- (使)合并, 联合, 结合

时 态:  
amalgamated, amalgamating, amalgamates 

形容词:  
amalgamative

名 词:  
amalgamator",
39,"ammonia","英:/ə'məʊnɪə/ 美:/ə'monɪə/","该版本不支持扩展词库。购买专业版",
40,"amorphous","英:/ə'mɔːfəs/ 美:/ə'mɔrfəs/","- adj. 无固定形状的
- 非结晶的；非晶态的
- 模糊的
- 无组织的;难以名状的
- 乱七八糟的;难以归类的
- 无一定方向(或目的)的",
41,"ample","英:/'æmp(ə)l/ 美:/'æmpl/","该版本不支持扩展词库。购买专业版",
42,"amygdala","英:/ə'mɪgdələ/ 美:/ə'mɪɡdələ/","该版本不支持扩展词库。购买专业版",
43,"anchor","英:/'æŋkə/ 美:/'æŋkɚ/","该版本不支持扩展词库。购买专业版",
44,"anchorage","英:/'æŋk(ə)rɪdʒ/ 美:/'æŋkərɪdʒ/","- n. 停泊处，抛锚处
- 抛锚；停泊
- 停泊税
- 固定物；寄托
Anchorage安克雷奇(美国阿拉斯加州南部的港口城市)",
45,"anecdote","英:/'ænɪkdəʊt/ 美:/'ænɪkdot/","该版本不支持扩展词库。购买专业版",
46,"anneal","英:/ə'niːl/ 美:/ə'nil/","该版本不支持扩展词库。购买专业版",
47,"annotate","英:/'ænəteɪt/ 美:/'ænə'tet/","该版本不支持扩展词库。购买专业版",
48,"announcement","英:/ə'naʊnsm(ə)nt/ 美:/ə'naʊnsmənt/","- n. 通告，布告，通知；预告
- 宣告，宣布",
49,"annual","英:/'ænjʊəl/ 美:/'ænjuəl/","该版本不支持扩展词库。购买专业版",
50,"anonymous","英:/ə'nɒnɪməs/ 美:/ə'nɑnəməs/","- adj. 无名的, 不具名的
- 匿名的",
51,"antagonize","英:/ænˈtægəˌnaɪz/ 美:/æn'tæɡənaɪz/","- vt. 使成为敌人；引起…敌对〔对抗〕
- 对...起反作用；中和

时 态:  
antagonized，antagonizing，antagonizes",
52,"appearance","英:/ə'pɪər(ə)ns/ 美:/ə'pɪrəns/","- n. 出现, 显露, 露面
- 外观, 外貌, 外表",
53,"appreciate","英:/ə'priːʃɪeɪt/ 美:/ə'priʃɪet/","- vt. 感激, 感谢
- 欣赏, 赏识, 重视
- 意识到, 体会
- vt. & vi. (使)增值, 涨价

时 态:  
appreciated, appreciating, appreciates 

名 词:  
appreciator

形容词:  
appreciatory",
54,"apprentice","英:/ə'prentɪs/ 美:/ə'prɛntɪs/","n. 学徒, 徒弟

时 态:  
apprenticed, apprenticing, apprentices 

名 词:  
apprenticeship",
55,"appropriate","英:/ə'prəʊprɪət/ 美:/ə'proprɪət/","- adj. 适当的，恰当的
- vt. 挪用；占用；盗用
- 拨出(款项)

时 态:  
appropriated，appropriating，appropriates  

副 词:  
appropriately

形容词:  
appropriative

名 词:  
appropriator",
56,"approximated","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
57,"apt","英:/æpt/ 美:/æpt/","该版本不支持扩展词库。购买专业版",
58,"archaic","英:/ɑː'keɪɪk/ 美:/ɑr'keɪk/","该版本不支持扩展词库。购买专业版",
59,"archer","英:/ˈɑ:tʃə/ 美:/ˈɑrtʃɚ/","该版本不支持扩展词库。购买专业版",
60,"archiving","/ɑ:'kəviŋ/","存档",
61,"area code","","该版本不支持扩展词库。购买专业版",
62,"arena","英:/ə'riːnə/ 美:/ə'rinə/","该版本不支持扩展词库。购买专业版",
63,"Argentina","/ˌɑ:dʒən'ti:nə/","n. 阿根廷(南美洲南部国家)

形容词:  
Argentine",
64,"arm","英:/ɑːm/ 美:/ɑrm/","该版本不支持扩展词库。购买专业版",
65,"armor","英:/ˈɑ:mə/ 美:/'ɑrmɚ/","该版本不支持扩展词库。购买专业版",
66,"array","英:/ə'reɪ/ 美:/ə're/","该版本不支持扩展词库。购买专业版",
67,"arresting","英:/ə'restɪŋ/ 美:/ə'rɛstɪŋ/","adj. 引人注意的,可观的",
68,"arrogant","英:/'ærəg(ə)nt/ 美:/'ærəɡənt/","该版本不支持扩展词库。购买专业版",
69,"assembly","英:/ə'semblɪ/ 美:/ə'sɛmbli/","该版本不支持扩展词库。购买专业版",
70,"assume","英:/ə'sjuːm/ 美:/ə'sum/","该版本不支持扩展词库。购买专业版",
71,"assure","英:/ə'ʃʊə/ 美:/ə'ʃʊr/","该版本不支持扩展词库。购买专业版",
72,"asteroid","英:/'æstərɒɪd/ 美:/'æstərɔɪd/","该版本不支持扩展词库。购买专业版",
73,"astronomical","英:/æstrə'nɒmɪk(ə)l/ 美:/ˌæstrə'nɑmɪkl/","- adj. 天文学的,天体的
- 极大的

副 词:  
astronomically",
74,"asymptotically","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
75,"atlas","英:/'ætləs/ 美:/ˈætləs/","该版本不支持扩展词库。购买专业版",
76,"autobiography","英:/ɔːtəbaɪ'ɒgrəfɪ/ 美:/ˌɔtəbaɪ'ɑɡrəfi/","- n. 自传
- 自传文学

名 词:  
autobiographer

形容词:  
autobiographic",
77,"autograph","英:/'ɔːtəgrɑːf/ 美:/'ɔtəɡræf/","- n. 亲笔签名
- 亲笔稿；手迹
- vt. 在…上亲笔签名
- 亲笔书写

时 态:  
autographed，autographing，autographs 

副 词:  
autographically",
78,"availability","英:/ə,veɪlə'bɪlətɪ/ 美:/ə,velə'bɪləti/","- n. 有效;有益;可利用性
- 可得到的东西(或人);可得性",
79,"awe","英:/ɔː/ 美:/ɔ/","该版本不支持扩展词库。购买专业版",
80,"back and forth","","该版本不支持扩展词库。购买专业版",
81,"bait","英:/beɪt/ 美:/beɪt/","该版本不支持扩展词库。购买专业版",
82,"bake","英:/beɪk/ 美:/bek/","vt. & vi. 烤, 烘焙

时 态:  
baked, baking, bakes",
83,"barriers","/'bærɪr/","n. 障碍；栅栏；篱笆墙（barrier的复数形式）",
84,"basin","英:/'beɪs(ə)n/ 美:/'besn/","该版本不支持扩展词库。购买专业版",
85,"bastard","英:/'bɑːstəd/ 美:/'bæstɚd/","该版本不支持扩展词库。购买专业版",
86,"be fond of","","爱好, 喜欢",
87,"be subjected to","","使经受, 使遭受",
88,"beak","英:/biːk/ 美:/bik/","该版本不支持扩展词库。购买专业版",
89,"bedeck","英:/bɪ'dek/ 美:/bɪ'dɛk/","该版本不支持扩展词库。购买专业版",
90,"befall","英:/bɪ'fɔːl/ 美:/bɪ'fɔl/","该版本不支持扩展词库。购买专业版",
91,"beg","英:/beg/ 美:/bɛɡ/","该版本不支持扩展词库。购买专业版",
92,"beginner","英:/bɪ'gɪnə/ 美:/bɪ'gɪnɚ/","该版本不支持扩展词库。购买专业版",
93,"beige","英:/beɪʒ/ 美:/beʒ/","该版本不支持扩展词库。购买专业版",
94,"belittle","英:/bɪ'lɪt(ə)l/ 美:/bɪ'lɪtl/","该版本不支持扩展词库。购买专业版",
95,"bench","英:/ben(t)ʃ/ 美:/bɛntʃ/","该版本不支持扩展词库。购买专业版",
96,"bend","英:/bend/ 美:/bɛnd/","该版本不支持扩展词库。购买专业版",
97,"benediction","英:/ˌbenɪ'dɪkʃ(ə)n/ 美:/'bɛnə'dɪkʃən/","- n. 祝福
- (礼拜结束时的)赐福祈祷
- (大写)(罗马天主教)祈求上帝赐福的仪式
- 恩赐;幸事",
98,"bid","英:/bɪd/ 美:/bɪd/","该版本不支持扩展词库。购买专业版",
99,"binge","英:/bɪn(d)ʒ/ 美:/bɪndʒ/","该版本不支持扩展词库。购买专业版",
100,"bipartite","英:/baɪ'pɑːtaɪt/ 美:/baɪ'pɑrtaɪt/","adj. 双向的

名 词:  
bipartition",
101,"bitter","英:/'bɪtə/ 美:/'bɪtɚ/","该版本不支持扩展词库。购买专业版",
102,"blade","英:/bleɪd/ 美:/bleɪd/","该版本不支持扩展词库。购买专业版",
103,"blast","英:/blɑːst/ 美:/blæst/","该版本不支持扩展词库。购买专业版",
104,"bleed","英:/bliːd/ 美:/blid/","该版本不支持扩展词库。购买专业版",
105,"blow away","","吹走, 刮走，强烈影响，征服","This video just blew me away. The people on these islands are down to earth as can be. Before now, Ive never heard of this place. For sure will not forget it.
"
106,"boast","英:/bəʊst/ 美:/bost/","该版本不支持扩展词库。购买专业版",
107,"bog","英:/bɒg/ 美:/bɑɡ/","该版本不支持扩展词库。购买专业版",
108,"bog down","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
109,"boots","英:/buːts/ 美:/bʊts/","n. 擦靴人",
110,"botanist","英:/'bɒtənɪst/ 美:/'bɑtənɪst/","该版本不支持扩展词库。购买专业版",
111,"branch out","","该版本不支持扩展词库。购买专业版",
112,"bravest","/breivist/","adj. 勇敢的",
113,"Brazil","英:/brəˈzil/ 美:/brəˈzɪl/","该版本不支持扩展词库。购买专业版",
114,"breathtaking","英:/'breθteɪkɪŋ/ 美:/'brɛθtekɪŋ/","- adj. 非常激动人心的,壮观的
- 惊人的；惊险的
- 使人透不过气来的",
115,"brew","英:/bruː/ 美:/brʊ/","该版本不支持扩展词库。购买专业版",
116,"briefcase","英:/'briːfkeɪs/ 美:/'brifkes/","n. 公文[事]包",
117,"brisk","英:/brɪsk/ 美:/brɪsk/","该版本不支持扩展词库。购买专业版",
118,"brood","英:/bruːd/ 美:/brud/","该版本不支持扩展词库。购买专业版",
119,"brunt","英:/brʌnt/ 美:/brʌnt/","该版本不支持扩展词库。购买专业版",
120,"bulletin","英:/'bʊlɪtɪn/ 美:/'bʊlətɪn/","该版本不支持扩展词库。购买专业版",
121,"burden","英:/'bɜːd(ə)n/ 美:/'bɝdn/","该版本不支持扩展词库。购买专业版",
122,"bureaucracy","英:/ˌbjʊ(ə)'rɒkrəsɪ/ 美:/bjʊ'rɑkrəsi/","- n. 政府机构
- 官僚主义, 官僚作风",
123,"burglary","英:/'bɜːglərɪ/ 美:/'bɝɡləri/","该版本不支持扩展词库。购买专业版",
124,"businesslike","英:/'bɪznɪslaɪk/ 美:/'bɪznəs'laɪk/","adj. 事务性的,公事公办的,有条理的,有效率的",
125,"butler","英:/'bʌtlə/ 美:/'bʌtlɚ/","该版本不支持扩展词库。购买专业版",
126,"caddy","英:/'kædɪ/ 美:/ˈkædi/","该版本不支持扩展词库。购买专业版",
127,"calibrate","英:/'kælɪbreɪt/ 美:/'kælɪbret/","- vt. 校准
- 使标准化,使合标准
- 测量(枪的)口径

时 态:  
calibrated, calibrating, calibrates 

名 词:  
calibrator",
128,"cannibalism","英:/ˈkænɪbɵlɪzɵm/ 美:/'kænəbl,ɪzəm/","该版本不支持扩展词库。购买专业版",
129,"cannon","英:/'kænən/ 美:/'kænən/","该版本不支持扩展词库。购买专业版",
130,"canonicalization","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
131,"capacity","英:/kə'pæsɪtɪ/ 美:/kə'pæsəti/","该版本不支持扩展词库。购买专业版",
132,"capped","","该版本不支持扩展词库。购买专业版",
133,"carabid","英:/'kærəbɪd/ 美:/ˈkærəbɪd/","n. 步行虫,步甲

形容词:  
carabid",
134,"cardigan","英:/'kɑːdɪg(ə)n/ 美:/'kɑrdɪɡən/","该版本不支持扩展词库。购买专业版",
135,"carpet","英:/'kɑːpɪt/ 美:/'kɑrpɪt/","该版本不支持扩展词库。购买专业版",
136,"cart","英:/kɑːt/ 美:/kɑrt/","该版本不支持扩展词库。购买专业版",
137,"cast","英:/kɑːst/ 美:/kæst/","该版本不支持扩展词库。购买专业版",
138,"cease","英:/siːs/ 美:/sis/","该版本不支持扩展词库。购买专业版",
139,"celibate","英:/'selɪbət/ 美:/'sɛlɪbət/","该版本不支持扩展词库。购买专业版",
140,"cello","英:/'tʃeləʊ/ 美:/'tʃɛlo/","该版本不支持扩展词库。购买专业版",
141,"cement","英:/sɪ'ment/ 美:/sə'mɛnt/","该版本不支持扩展词库。购买专业版",
142,"cemented","/sɪ'mɛnt/","灌水泥的",
143,"central fatty acids","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
144,"centroid","英:/'sentrɒɪd/ 美:/'sɛntrɔɪd/","该版本不支持扩展词库。购买专业版",
145,"chamber","英:/'tʃeɪmbə/ 美:/'tʃembɚ/","该版本不支持扩展词库。购买专业版",
146,"charcoal","英:/'tʃɑːkəʊl/ 美:/'tʃɑrkol/","该版本不支持扩展词库。购买专业版",
147,"charge","英:/tʃɑːdʒ/ 美:/tʃɑrdʒ/","该版本不支持扩展词库。购买专业版",
148,"check out","","该版本不支持扩展词库。购买专业版",
149,"cheer","英:/tʃɪə/ 美:/tʃɪr/","该版本不支持扩展词库。购买专业版",
150,"chile","英:/ˈtʃili/ 美:/ˈtʃɪli/","该版本不支持扩展词库。购买专业版",
151,"circumspect","英:/'sɜːkəmspekt/ 美:/'sɝkəm'spɛkt/","adj. 谨慎小心的,周到的

副 词:  
circumspectly",
152,"circumvent","英:/sɜːkəm'vent/ 美:/ˌsɝkəm'vɛnt/","vt. 设法克服或避免(某事物)；回避

时 态:  
circumvented，circumventing，circumvents 

名 词:  
circumvention",
153,"civil","英:/'sɪv(ə)l/ 美:/'sɪvl/","该版本不支持扩展词库。购买专业版",
154,"classify","英:/'klæsɪfaɪ/ 美:/'klæsɪfaɪ/","该版本不支持扩展词库。购买专业版",
155,"clergy","英:/'klɜːdʒɪ/ 美:/'klɝdʒi/","该版本不支持扩展词库。购买专业版",
156,"clergyman","英:/'klɜːdʒɪmən/ 美:/'klɝdʒɪmən/","n. 牧师,教士",
157,"cling","英:/klɪŋ/ 美:/klɪŋ/","该版本不支持扩展词库。购买专业版",
158,"cling to","","抱住，固守, 贴近",
159,"clobber","英:/'klɒbə/ 美:/'klɑbɚ/","该版本不支持扩展词库。购买专业版",
160,"closet","英:/'klɒzɪt/ 美:/'klɑzət/","该版本不支持扩展词库。购买专业版",
161,"clover","英:/'kləʊvə/ 美:/'klovɚ/","该版本不支持扩展词库。购买专业版",
162,"clump","英:/klʌmp/ 美:/klʌmp/","该版本不支持扩展词库。购买专业版",
163,"clumsy","英:/'klʌmzɪ/ 美:/'klʌmzi/","该版本不支持扩展词库。购买专业版",
164,"coax","英:/ˈkəuks/ 美:/koks/","该版本不支持扩展词库。购买专业版",
165,"coercive","英:/kəʊ'ɜːsɪv/ 美:/ko'ɝsɪv/","该版本不支持扩展词库。购买专业版",
166,"coercivity","英:/ˌkoɚ'sɪvɪti/ 美:/ˌkoɚˈsɪvɪti/","n. 矫顽(磁)力 矫顽(磁)性",
167,"coffee","英:/'kɒfɪ/ 美:/'kɔfi/","该版本不支持扩展词库。购买专业版",
168,"coherence","英:/kə(ʊ)'hɪər(ə)ns/ 美:/ko'hɪrəns/","n. 条理性,连贯性,一致性",
169,"coherent","英:/kə(ʊ)'hɪər(ə)nt/ 美:/ko'hɪrənt/","该版本不支持扩展词库。购买专业版",
170,"cohesive","英:/kəʊ'hiːsɪv/ 美:/ko'hisɪv/","该版本不支持扩展词库。购买专业版",
171,"cohesiveness","/kəu'hi:sivnis/","粘结性,内聚性",
172,"cohort","英:/'kəʊhɔːt/ 美:/'kohɔrt/","该版本不支持扩展词库。购买专业版",
173,"collaborate","英:/kə'læbəreɪt/ 美:/kə'læbəret/","- vi. 合作
- 勾结叛国
- n. 协作者，合作者；勾结者

时 态:  
collaborated，collaborating，collaborates 

名 词:  
collaboration

形容词:  
collaborative

名 词:  
collaborator",
174,"collapse","英:/kə'læps/ 美:/kə'læps/","该版本不支持扩展词库。购买专业版",
175,"collide","英:/kə'laɪd/ 美:/kə'laɪd/","该版本不支持扩展词库。购买专业版",
176,"colophon","英:/'kɒləf(ə)n/ 美:/'kɑləfən/","该版本不支持扩展词库。购买专业版",
177,"colossal","英:/kə'lɒs(ə)l/ 美:/kə'lɑsl/","该版本不支持扩展词库。购买专业版",
178,"comb","英:/kəʊm/ 美:/kom/","该版本不支持扩展词库。购买专业版",
179,"come at","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
180,"come down","","该版本不支持扩展词库。购买专业版",
181,"come into being","","该版本不支持扩展词库。购买专业版",
182,"come into effect","","生效，实施",
183,"commence","英:/kə'mens/ 美:/kə'mɛns/","该版本不支持扩展词库。购买专业版",
184,"commensurate","英:/kə'menʃ(ə)rət/ 美:/kə'mɛnʃərət/","- adj. (在时间和空间上)相等的
- 相称的,相当的

名 词:  
commensuration",
185,"commerce","英:/'kɒmɜːs/ 美:/'kɑmɝs/","该版本不支持扩展词库。购买专业版",
186,"commission","英:/kə'mɪʃ(ə)n/ 美:/kə'mɪʃən/","- n. 授权, 委托
- 委员会
- 佣金, 回扣
- vt. 委任, 委托

时 态:  
commissioned, commissioning, commissions",
187,"commonplace","英:/'kɒmənpleɪs/ 美:/'kɑmən'ples/","- adj. 普通的, 平庸的
- n. 陈腔滥调, 老生常谈
- 寻常的事物, 平常的东西",
188,"commutative","英:/kə'mjuːtətɪv/ 美:/kə'mjutətɪv/","adj. 交换的; 代替的

名 词:  
commutativity",
189,"commute","英:/kə'mjuːt/ 美:/kə'mjʊt/","该版本不支持扩展词库。购买专业版",
190,"commuter","英:/kə'mjuːtə(r)/ 美:/kə'mjʊtɚ/","该版本不支持扩展词库。购买专业版",
191,"commuting","/kə'mju:tiŋ/","n.,adj. 交换(的)",
192,"compatible","英:/kəm'pætɪb(ə)l/ 美:/kəm'pætəbl/","adj. 可以并存的, 相容的, 协调的

副 词:  
compatibly",
193,"compel","英:/kəm'pel/ 美:/kəm'pɛl/","该版本不支持扩展词库。购买专业版",
194,"compere","英:/'kɔmpɛə/ 美:/ˈkɑmˌpɛr/","该版本不支持扩展词库。购买专业版",
195,"competence","英:/'kɒmpɪt(ə)ns/ 美:/'kɑmpɪtəns/","- n. 能力, 技能
- (法院的)权限, 管辖权",
196,"complain","英:/kəm'pleɪn/ 美:/kəm'plen/","该版本不支持扩展词库。购买专业版",
197,"compliment","英:/'kɒmplɪm(ə)nt/ 美:/'kɑmpləmənt/","- n. 赞美(话)，恭维(话)
- 向…送礼以表示敬意
- vt. 表扬；恭维

时 态:  
complimented，complimenting，compliments",
198,"composition","英:/kɒmpə'zɪʃ(ə)n/ 美:/ˌkɑmpə'zɪʃən/","- n. 创作，写作，作曲
- 作文，作品
- 构图；构成，成分
- 混合物，合成物",
199,"concatenate","英:/kən'kætɪneɪt/ 美:/kɑn'kætə,net/","- vt. 把 (一系列事件、事情等)联系起来
- adj. 连接的；联系在一起的

时 态:  
concatenated，concatenating，concatenates 

名 词:  
concatenation",
200,"concedes","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
201,"concession","英:/kən'seʃ(ə)n/ 美:/kən'sɛʃən/","- n. 承认, 允许
- 妥协, 让步
- 特许权

形容词:  
concessional

形容词:  
concessionary",
202,"conclusion","英:/kən'kluːʒ(ə)n/ 美:/kən'kluʒn/","- n. 结束, 结尾
- 信念, 意见, 结论",
203,"concoct","英:/kən'kɒkt/ 美:/kən'kɑkt/","该版本不支持扩展词库。购买专业版",
204,"concur","英:/kən'kɜː/ 美:/kən'kɝ/","该版本不支持扩展词库。购买专业版",
205,"condone","英:/kən'dəʊn/ 美:/kən'don/","该版本不支持扩展词库。购买专业版",
206,"conducive","英:/kən'djuːsɪv/ 美:/kən'dusɪv/","adj. 导致…的, 有助于…的",
207,"conduct","英:/'kɒndʌkt/ 美:/kən'dʌkt/","该版本不支持扩展词库。购买专业版",
208,"conductor","英:/kən'dʌktə/ 美:/kən'dʌktɚ/","- n. (乐队)指挥
- 售票员, 列车长
- 〈电〉导体",
209,"confidential","英:/kɒnfɪ'denʃ(ə)l/ 美:/ˌkɑnfɪ'dɛnʃl/","- adj. 秘密的, 机密的
- 表示信任或亲密的
- 担任机密工作的

名 词:  
confidentiality

副 词:  
confidentially",
210,"configurations","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
211,"confine","英:/kən'faɪn/ 美:/kən'faɪn/","该版本不支持扩展词库。购买专业版",
212,"conflict","英:/'kɒnflɪkt/ 美:/'kɑnflɪkt/","该版本不支持扩展词库。购买专业版",
213,"conicoid","/'kɔnikɔid/","n. 二次曲面",
214,"connectivity","英:/ˌkɔnek'tivəti/ 美:/ˌkɑnɛkˈtɪvɪti/","n. 连通性",
215,"conquistador","英:/kɒn'kwɪstədɔː/ 美:/kɑn'kwɪstədɔr/","该版本不支持扩展词库。购买专业版",
216,"consecrate","英:/'kɒnsɪkreɪt/ 美:/ˈkɑnsɪˌkret/","- vt. 把…奉为神圣；给…祝圣
- 奉献

时 态:  
consecrated，consecrating，consecrates 

形容词:  
consecratory",
217,"consecrated","/'kənsə,kreitid/","adj. 神圣的,被视为神圣的",
218,"consensus","英:/kən'sensəs/ 美:/kən'sɛnsəs/","n. (意见等)一致, 一致同意",
219,"consequence","英:/'kɒnsɪkw(ə)ns/ 美:/'kɑnsəkwɛns/","- n. 结果, 后果
- 重要(性), 重大",
220,"conservation","英:/kɒnsə'veɪʃ(ə)n/ 美:/ˌkɑnsɚ'veʃən/","- n. 保存, 保护, 避免浪费
- 对自然环境的保护",
221,"constellation","英:/ˌkɒnstə'leɪʃ(ə)n/ 美:/ˌkɑnstə'leʃən/","- n. 星座
- 一群杰出人物",
222,"constructionist","英:/kən'strʌkʃ(ə)nɪst/ 美:/kən'strʌkʃənɪst/","n. 法令解释者,美国宪法解释者",
223,"contagious","英:/kən'teɪdʒəs/ 美:/kən'tedʒəs/","- adj. (病)有传染性的
- (人)患传染病的
- 有感染力的

副 词:  
contagiously",
