#,单词,音标,解释,笔记
15,"admit","英:/əd'mɪt/ 美:/əd'mɪt/","admit
  [admitted, admitted, admitting]
 admit of 
     admit of sth formal to make it possible for something to be allowed or accepted:
   ▪ The present law admits of no exceptions.
   ▪ The facts of the case admit of only one possible verdict.
   ■ SIMILAR TO: ↑allow
 admit to 
     admit to sth to say that you have done something wrong, especially something criminal, or say that you have a feeling which you feel embarrassed about:
   ▪ I think he feels sorry for what happened, even though he's not willing to admit to it.
   admit to doing sth
   ▪ Campbell was sent to prison after admitting to spying for the KGB.
   ▪ Tony once admitted to drinking up to a bottle of whisky a day.
   ■ SIMILAR TO: ↑confess",
16,"adopt","英:/ə'dɒpt/ 美:/ə'dɑpt/","- vt. 收养
- 采用, 采纳, 采取
- 正式接受, 通过

时 态:  
adopted, adopting, adopts 

形容词:  
adoptable

名 词:  
adopter

名 词:  
adoption",
17,"adopted","/ə'dɔptid/","- adj. 被收养的；被采用的
- v. 采用；接受（adopt的过去式和过去分词）",
18,"adversary","英:/'ædvəs(ə)rɪ/ 美:/'ædvɚsɛri/","n. 对手, 敌手",
19,"adversetrend","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
20,"aerial","英:/'eərɪəl/ 美:/'ɛrɪəl/","- adj. 空气的, 空中的
- 存在或悬浮于空中的, 架空的
- n. 天线",
21,"aesthetic","英:/iːs'θetɪk/ 美:/ɛs'θɛtɪk/","- adj. 有关美的, 美学的
- 审美的
- 悦目的, 雅致的

副 词:  
aesthetically",
22,"aetiology","英:/ˌiːtɪ'ɒlədʒɪ/ 美:/ˌitɪ'ɑlədʒi/","n. 原因之说明,原因论,病原",
23,"affluent","英:/'æflʊənt/ 美:/'æfluənt/","- adj. 富裕的；丰富的；流畅的
- n. 支流；富人


副 词:  
affluently",
24,"affront","英:/ə'frʌnt/ 美:/ə'frʌnt/","- vt. 公开侮辱；冒犯，有意冒犯；面对
- n. 轻蔑；公开侮辱


时 态:  
affronted, affronting, affronts",
25,"aficionados","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
26,"agitated","英:/'ædʒɪteɪtɪd/ 美:/'ædʒɪtetɪd/","- adj. 激动的；焦虑的；表现不安的
- v. 焦虑；鼓动（agitate的过去分词）",
27,"ailing","英:/'eɪlɪŋ/ 美:/'elɪŋ/","- adj. 生病的，身体不舒服的；体衰的
- v. 生病；苦恼（ail的ing形式）",
28,"airy","英:/'eərɪ/ 美:/'ɛri/","- adj. 空气的；大气的
- 空中的；高耸入云的
- 通风的，空气新鲜的
- 虚幻的；出于空想的
- 轻而薄的
- 轻快的；优美的
- 快活的；欢乐的
- 做作的；高傲的
- 轻率的

比较级:  
airier，airiest 

副 词:  
airily

名 词:  
airiness",
29,"akin","英:/ə'kɪn/ 美:/ə'kɪn/","adj. 同族的；同类的；类似的",
30,"albeit","英:/ɔːl'biːɪt/ 美:/ˌɔl'biɪt/","conj. 即使；虽然",
31,"algorithm","英:/'ælgərɪð(ə)m/ 美:/'ælgə'rɪðəm/","n. 运算法则

形容词:  
algorithmic",
32,"allowance","英:/ə'laʊəns/ 美:/ə'laʊəns/","n. 津贴, 补助, 零用钱

时 态:  
allowanced, allowancing, allowances",
33,"alluring","/ə'l(j)ʊərɪŋ/","adj. 诱惑的, 迷人的",
34,"ally","英:/'ælaɪ/ 美:/ə'laɪ/","- n. 同盟国；同盟者；助手；伙伴
- vt. 使联盟；使联合
- vi. 结盟；联合

Ally艾丽(女子名, Alice 的昵称)

时 态:  
allied, allying, allies",
35,"alternative","英:/ɔːl'tɜːnətɪv/ 美:/ɔl'tɝnətɪv/","- adj. 两者择一的, 供替代的
- 不寻常的, 非传统性的
- 非正统的
- n. 取舍, 抉择, 可供选择的事物
- 选择的余地, 可供选择的机会

副 词:  
alternatively",
36,"altogether","英:/ɔːltə'geðə/ 美:/ˌɔltə'ɡɛðɚ/","- adv. 全部地, 完全地
- 总共
- 总而言之",
37,"amalgam","英:/ə'mælgəm/ 美:/ə'mælɡəm/","n. [采矿]汞合金，汞齐；混合物",
38,"amalgamate","英:/ə'mælgəmeɪt/ 美:/ə'mælɡəmet/","- vt. & vi. (使)(金属)汞齐化
- (使)合并, 联合, 结合

时 态:  
amalgamated, amalgamating, amalgamates 

形容词:  
amalgamative

名 词:  
amalgamator",
39,"ammonia","英:/ə'məʊnɪə/ 美:/ə'monɪə/","n. [化]氨，阿摩尼亚",
40,"amorphous","英:/ə'mɔːfəs/ 美:/ə'mɔrfəs/","- adj. 无固定形状的
- 非结晶的；非晶态的
- 模糊的
- 无组织的;难以名状的
- 乱七八糟的;难以归类的
- 无一定方向(或目的)的",
41,"ample","英:/'æmp(ə)l/ 美:/'æmpl/","adj. 丰富的；足够的；宽敞的


比较级:  
ampler, amplest 

名 词:  
ampleness

副 词:  
amply",
42,"amygdala","英:/ə'mɪgdələ/ 美:/ə'mɪɡdələ/","n. 杏仁核；扁桃腺；苦巴旦杏",
43,"anchor","英:/'æŋkə/ 美:/'æŋkɚ/","- n. 锚
- 给人安全感的物(或人)
- vt. 抛锚
- 担任(电视节目等的)主持人
- vt. & vi. (把…)系住, (使)固定

时 态:  
anchored, anchoring, anchors",
44,"anchorage","英:/'æŋk(ə)rɪdʒ/ 美:/'æŋkərɪdʒ/","- n. 停泊处，抛锚处
- 抛锚；停泊
- 停泊税
- 固定物；寄托
Anchorage安克雷奇(美国阿拉斯加州南部的港口城市)",
45,"anecdote","英:/'ænɪkdəʊt/ 美:/'ænɪkdot/","n. 掌故, 趣闻, 轶事",
46,"anneal","英:/ə'niːl/ 美:/ə'nil/","- vt. 使退火，韧炼；锻炼
- n. 退火；锻炼，磨练


时 态:  
annealed, annealing, anneals",
47,"annotate","英:/'ænəteɪt/ 美:/'ænə'tet/","- vi. 注释；给…作注释或评注
- vt. 注释；作注解


时 态:  
annotated, annotating, annotates 

名 词:  
annotator",
48,"announcement","英:/ə'naʊnsm(ə)nt/ 美:/ə'naʊnsmənt/","- n. 通告，布告，通知；预告
- 宣告，宣布",
49,"annual","英:/'ænjʊəl/ 美:/'ænjuəl/","- adj. 年度的；每年的
- n. 年刊，年鉴；一年生植物


副 词:  
annually",
50,"anonymous","英:/ə'nɒnɪməs/ 美:/ə'nɑnəməs/","- adj. 无名的, 不具名的
- 匿名的",
51,"antagonize","英:/ænˈtægəˌnaɪz/ 美:/æn'tæɡənaɪz/","- vt. 使成为敌人；引起…敌对〔对抗〕
- 对...起反作用；中和

时 态:  
antagonized，antagonizing，antagonizes",
52,"appearance","英:/ə'pɪər(ə)ns/ 美:/ə'pɪrəns/","- n. 出现, 显露, 露面
- 外观, 外貌, 外表",
53,"appreciate","英:/ə'priːʃɪeɪt/ 美:/ə'priʃɪet/","- vt. 感激, 感谢
- 欣赏, 赏识, 重视
- 意识到, 体会
- vt. & vi. (使)增值, 涨价

时 态:  
appreciated, appreciating, appreciates 

名 词:  
appreciator

形容词:  
appreciatory",
54,"apprentice","英:/ə'prentɪs/ 美:/ə'prɛntɪs/","n. 学徒, 徒弟

时 态:  
apprenticed, apprenticing, apprentices 

名 词:  
apprenticeship",
55,"appropriate","英:/ə'prəʊprɪət/ 美:/ə'proprɪət/","- adj. 适当的，恰当的
- vt. 挪用；占用；盗用
- 拨出(款项)

时 态:  
appropriated，appropriating，appropriates  

副 词:  
appropriately

形容词:  
appropriative

名 词:  
appropriator",
56,"approximated","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
57,"apt","英:/æpt/ 美:/æpt/","- adj. 易于…的, 有…倾向的
- 恰当的, 适宜的
- 聪明的, 灵巧的
APTabbr. Advanced Passenger Train高级旅客列车

副 词:  
aptly

名 词:  
aptness",
58,"archaic","英:/ɑː'keɪɪk/ 美:/ɑr'keɪk/","- adj. 古时的,古代的,古老的
- 陈旧的, 已不通用的
- 古式的；古体的
- 古色古香的",
59,"archer","英:/ˈɑ:tʃə/ 美:/ˈɑrtʃɚ/","n. 弓箭手

Archern. 人马座；人马宫",
60,"archiving","/ɑ:'kəviŋ/","存档",
61,"area code","","n. 电话地区号",
62,"arena","英:/ə'riːnə/ 美:/ə'rinə/","n. 竞技场；舞台",
63,"Argentina","/ˌɑ:dʒən'ti:nə/","n. 阿根廷(南美洲南部国家)

形容词:  
Argentine",
64,"arm","英:/ɑːm/ 美:/ɑrm/","- n. 手臂；袖子；武器；装备
- vi. 武装起来
- vt. 武装；备战

ARMabbr. Anti Radar Missile 反雷达导弹

时 态:  
armed, arming, arms 

名 词:  
armer",
65,"armor","英:/ˈɑ:mə/ 美:/'ɑrmɚ/","- n. 装甲；盔甲
- vt. 为…装甲


时 态:  
armored, armoring, armors",
66,"array","英:/ə'reɪ/ 美:/ə're/","- n. 衣服；排列，列阵；大批，一系列；[计]数组，阵列
- vt. 排列，部署；打扮


时 态:  
arrayed, arraying, arrays",
67,"arresting","英:/ə'restɪŋ/ 美:/ə'rɛstɪŋ/","adj. 引人注意的,可观的",
68,"arrogant","英:/'ærəg(ə)nt/ 美:/'ærəɡənt/","adj. 自大的，傲慢的


副 词:  
arrogantly",
69,"assembly","英:/ə'semblɪ/ 美:/ə'sɛmbli/","n. 装配；集会，集合",
70,"assume","英:/ə'sjuːm/ 美:/ə'sum/","- vt. 假定；承担；呈现；采取
- vi. 装腔作势；多管闲事


时 态:  
assumed, assuming, assumes 

形容词:  
assumable

副 词:  
assumably",
71,"assure","英:/ə'ʃʊə/ 美:/ə'ʃʊr/","vt. 保证；担保；使确信；弄清楚


时 态:  
assured, assuring, assures 

形容词:  
assurable

名 词:  
assurer",
72,"asteroid","英:/'æstərɒɪd/ 美:/'æstərɔɪd/","- n. [天文]小行星；海盘车；小游星
- adj. 星状的",
73,"astronomical","英:/æstrə'nɒmɪk(ə)l/ 美:/ˌæstrə'nɑmɪkl/","- adj. 天文学的,天体的
- 极大的

副 词:  
astronomically",
74,"asymptotically","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
75,"atlas","英:/'ætləs/ 美:/ˈætləs/","n. 地图集

Atlas寰椎",
76,"autobiography","英:/ɔːtəbaɪ'ɒgrəfɪ/ 美:/ˌɔtəbaɪ'ɑɡrəfi/","- n. 自传
- 自传文学

名 词:  
autobiographer

形容词:  
autobiographic",
77,"autograph","英:/'ɔːtəgrɑːf/ 美:/'ɔtəɡræf/","- n. 亲笔签名
- 亲笔稿；手迹
- vt. 在…上亲笔签名
- 亲笔书写

时 态:  
autographed，autographing，autographs 

副 词:  
autographically",
78,"availability","英:/ə,veɪlə'bɪlətɪ/ 美:/ə,velə'bɪləti/","- n. 有效;有益;可利用性
- 可得到的东西(或人);可得性",
79,"awe","英:/ɔː/ 美:/ɔ/","- vt. 使敬畏；使畏怯
- n. 敬畏


时 态:  
awed, awing, awes",
80,"back and forth","","反复地，来回地


形容词:  
back-and-forth",
81,"bait","英:/beɪt/ 美:/beɪt/","- n. (钓鱼等用的)饵, 诱饵
- vt. 装饵于
- 故意激怒

时 态:  
baited, baiting, baits",
82,"bake","英:/beɪk/ 美:/bek/","vt. & vi. 烤, 烘焙

时 态:  
baked, baking, bakes",
83,"barriers","/'bærɪr/","n. 障碍；栅栏；篱笆墙（barrier的复数形式）",
84,"basin","英:/'beɪs(ə)n/ 美:/'besn/","n. 盆地；盆；水池；流域


形容词:  
basinal",
85,"bastard","英:/'bɑːstəd/ 美:/'bæstɚd/","- n. 私生子
- 坏蛋, 混蛋

形容词:  
bastardly",
86,"be fond of","","爱好, 喜欢",
87,"be subjected to","","使经受, 使遭受",
88,"beak","英:/biːk/ 美:/bik/","n. 鸟嘴；鹰钩鼻子；地方执法官；男教师


形容词:  
beaked",
89,"bedeck","英:/bɪ'dek/ 美:/bɪ'dɛk/","vt. 装饰；修饰


时 态:  
bedecked, bedecking, bedecks",
90,"befall","英:/bɪ'fɔːl/ 美:/bɪ'fɔl/","- vi. 降临
- vt. 降临；发生


时 态:  
befell 
befallen 
befalling, befalls",
91,"beg","英:/beg/ 美:/bɛɡ/","beg
  [begged, begged, begging]
 beg off 
     beg off • beg off sth to say politely that you cannot do something that other people want or expect you to do:
   ▪ I wanted to have a quiet day, so when the opportunity arose to spend the day on the beach with friends, I begged off.
   beg off doing sth
   ▪ Haney didn't feel too well, so he decided to beg off working that afternoon.",
92,"beginner","英:/bɪ'gɪnə/ 美:/bɪ'gɪnɚ/","- n. 新手;初学者
- 创始人
- 初学者的好运气(或意外成功)；侥幸",
93,"beige","英:/beɪʒ/ 美:/beʒ/","- n. 米黄色
- adj. 浅褐色的；米黄色的",
94,"belittle","英:/bɪ'lɪt(ə)l/ 美:/bɪ'lɪtl/","vt. 轻视；贬低；使相形见小


时 态:  
belittled, belittling, belittles",
95,"bench","英:/ben(t)ʃ/ 美:/bɛntʃ/","n. 长凳, 长椅

时 态:  
benched, benching, benches",
96,"bend","英:/bend/ 美:/bɛnd/","bend
  [bent, bent, bending]
 bend down 
     bend down to move your body forwards and down towards the ground, by bending it at the waist or knees:
   ▪ George bent down and kissed the little girl on the cheek.
   + to do sth
   ▪ Suddenly I noticed a silver coin, and I bent down to pick it up.
 be bent on 
    be bent on to have decided to do something and be completely determined to achieve it, especially something that involves violence or destroying something - used to show disapproval
   be bent on doing sth
   ▪ The terrorists seem bent on causing as much disruption as possible before the elections.
   be bent on revenge/vengeance
   ▪ The family could not forgive the girl's killers, and were bent on revenge.
 bend over 
     bend over • bend over sth to move the top part of your body forwards at the waist or shoulders:
   ▪ He bent over his plate, eating hungrily.
   ▪ These trousers are so tight I can hardly bend over!
   be bent over (=be in a position in which you are leaning forward at the waist or shoulders)
   ▪ The two girls were sitting at the table, heads bent over their homework.
   ▪ The woman was bent over, picking up fallen apples.",
97,"benediction","英:/ˌbenɪ'dɪkʃ(ə)n/ 美:/'bɛnə'dɪkʃən/","- n. 祝福
- (礼拜结束时的)赐福祈祷
- (大写)(罗马天主教)祈求上帝赐福的仪式
- 恩赐;幸事",
98,"bid","英:/bɪd/ 美:/bɪd/","bid
  [bid, bid, bidding]
 bid on 
     bid on sth if a company bids on a piece of work, it tries to get the work by offering to do it at a particular price, especially when it is competing against other companies.:
   ▪ Local companies have personal contacts and reduced delivery costs, which gives them an advantage when bidding on contracts.
   ▪ Some people claim that there is discrimination against US companies wishing to bid on Japanese projects.",
99,"binge","英:/bɪn(d)ʒ/ 美:/bɪndʒ/","- n. 狂欢，狂闹；放纵
- vt. 放纵
- vi. 狂饮作乐；大吃大喝


时 态:  
binged, binging, bingeing 
binges 

名 词:  
binger",
100,"bipartite","英:/baɪ'pɑːtaɪt/ 美:/baɪ'pɑrtaɪt/","adj. 双向的

名 词:  
bipartition",
101,"bitter","英:/'bɪtə/ 美:/'bɪtɚ/","- adj. 有苦味的
- 严寒的，刺骨的
- 辛酸的，引起痛苦的；难以接受的
- 充满仇恨的

比较级:  
bitterer，bitterest 

副 词:  
bitterly

名 词:  
bitterness",
102,"blade","英:/bleɪd/ 美:/bleɪd/","n. 刀片，刀锋；叶片；剑


形容词:  
bladed",
103,"blast","英:/blɑːst/ 美:/blæst/","blast
  [blasted, blasted, blasting]
 blast away 
  1.   blast away • blast away sb/sth • blast sb/sth away to keep firing a gun continuously:
   ▪ Schwarzenegger grabs a machine gun and blasts away until all the bad guys are dead on the floor.
   + at
   ▪ The farmer started blasting away at the crows with his shotgun.
   ■ SIMILAR TO: ↑blaze away
  2.   blast away sth/sb • blast sth/sb away to destroy something or kill someone by shooting at them or by using explosives:
   ▪ In the film &quot;Magnum Force&quot;, Clint Eastwood blasts away a group of corrupt cops.
   ▪ Small balls of Semtex, powerful enough to blast away doors, were smuggled into the prison.
  3.   blast away if a radio, band etc is blasting away, it is playing music very loudly, especially for a long period of time:
   ▪ At 2am, the band was still blasting away.
   ▪ The teenagers next door have their stereo blasting away all night.
   ■ SIMILAR TO: ↑blare away
  4.   blast away especially AmE to strongly and publicly criticize someone or something - used especially in news reports
   + at
   ▪ He blasted away at city officials, blaming them for the housing shortage.
   ▪ Democrats are expected to blast away at the proposed budget cuts.
 blast off 
     blast off if a spacecraft blasts off, it leaves the ground at the beginning of its journey into space. A spacecraft is a vehicle that can travel in space.:
   ▪ The space shuttle Columbia blasted off Thursday on a 17-day flight around the moon.
   ▪ Next week, a rocket carrying the first Austrian into space will blast off from Cape Canaveral.
   ■ SIMILAR TO: ↑take off, ↑lift off
    blast-off n  U the moment when a spacecraft leaves the ground to begin its journey into space:
   ▪ We have 10 seconds until blast-off.
 blast out 
     blast out sth • blast sth out • blast out if music blasts out or something blasts it out, it is very loud:
   ▪ Rap music was blasting out from the car stereo.
   ▪ The band was blasting out songs from their latest album.
   ■ SIMILAR TO: ↑blare out",
104,"bleed","英:/bliːd/ 美:/blid/","- vt. 使出血；榨取
- vi. 流血；渗出；悲痛


时 态:  
bled 
bleeding, bleeds",
105,"blow away","","blow away
  1.   blow sb away • blow away sb informal if a performance, film, book etc blows you away, you think it is extremely good and you are surprised and impressed by how good it is:
   ▪ Calvin blew away the audience with his outstanding performance as Shylock in 'The Merchant of Venice'.
   ▪ When I first heard this record, I was blown away.
  2.   blow sb away • blow away sb informal to kill someone or something by shooting them with a gun:
   ▪ Don't move or I'll blow you away!
   ▪ Clint takes out his 45 Magnum and blows them all away.
  3.   blow away sb • blow sb away informal, especially AmE to defeat someone or something completely:
   ▪ Franklin D. Roosevelt blew away presidential candidate Alf Landon in 1936.
   ▪ The Italian team blew them away in a thrilling game.","This video just blew me away. The people on these islands are down to earth as can be. Before now, Ive never heard of this place. For sure will not forget it.
"
106,"boast","英:/bəʊst/ 美:/bost/","- n. 自吹自擂, 自夸的话
- vt. & vi. 自夸
- vt. 有(引以为荣的事物)

时 态:  
boasted, boasting, boasts 

名 词:  
boaster

形容词:  
boastful",
107,"bog","英:/bɒg/ 美:/bɑɡ/","bog
  [bogged, bogged, bogging]
 bog down 
  1.  get/become bogged down to become so involved in dealing with something, especially small details or less important things, that you cannot make progress or do the main thing that you want to do
   + over
   ▪ Let's not get bogged down over small details.
   ▪ The peace talks became bogged down over arguments about whether the terrorists should be allowed to keep their weapons.
   + in
   ▪ The French were losing territory, but they did not want to become bogged down in another Asian land war.
  2.   bog down sth • bog sth down • bog down AmE to make something move, work, or happen less quickly and easily:
   ▪ Snow and freezing rain have been bogging down traffic on Connecticut roads this week.
   ▪ Bitter disputes between political parties have bogged the bill down in Congress.
 bog off 
    bog off! BrE spoken informal used to rudely tell someone to go away:
   ▪ Why don't you just bog off and leave me alone?
   ■ SIMILAR TO: ↑piss off  informal",
108,"bog down","","bog down
  1.  get/become bogged down to become so involved in dealing with something, especially small details or less important things, that you cannot make progress or do the main thing that you want to do
   + over
   ▪ Let's not get bogged down over small details.
   ▪ The peace talks became bogged down over arguments about whether the terrorists should be allowed to keep their weapons.
   + in
   ▪ The French were losing territory, but they did not want to become bogged down in another Asian land war.
  2.   bog down sth • bog sth down • bog down AmE to make something move, work, or happen less quickly and easily:
   ▪ Snow and freezing rain have been bogging down traffic on Connecticut roads this week.
   ▪ Bitter disputes between political parties have bogged the bill down in Congress.",
109,"boots","英:/buːts/ 美:/bʊts/","n. 擦靴人",
110,"botanist","英:/'bɒtənɪst/ 美:/'bɑtənɪst/","n. 植物学家",
111,"branch out","","branch out
     branch out to start doing something different from what you usually do in your business, job etc
   + into
   ▪ Vass was the owner of a shipping company, who for some strange reason had branched out into the fashion industry.
   + from
   ▪ She has now branched out from translating work into writing her own books.
   branch out on your own
   ▪ After five years of working for William Lee in London, Graham was looking for opportunities to branch out on his own.",
112,"bravest","/breivist/","adj. 勇敢的",
113,"Brazil","英:/brəˈzil/ 美:/brəˈzɪl/","n. 巴西

形容词:  
Brazilian",
114,"breathtaking","英:/'breθteɪkɪŋ/ 美:/'brɛθtekɪŋ/","- adj. 非常激动人心的,壮观的
- 惊人的；惊险的
- 使人透不过气来的",
115,"brew","英:/bruː/ 美:/brʊ/","brew
  [brewed, brewed, brewing]
 brew up 
  1.   brew up • brew up sth BrE informal to make a drink of tea or coffee:
   ▪ Every two hours the men would stop work to brew up and have a cigarette.
   ▪ I spent the day reading novels and brewing up endless cups of tea.
  2.  be brewing up especially BrE if trouble or a situation in which people argue or fight with each other is brewing up, it is starting to develop:
   ▪ The CIA were aware that a civil war was brewing up in Nicaragua.
  3.   brew up sth • brew sth up  usually progressive to secretly plan something that will cause trouble:
   ▪ I knew that the kids were brewing something up but I wasn't sure what it was.
   ▪ Racist organizations are brewing up mischief wherever they can.
  4.   brew up sth to make a mixture of drugs, medicines etc:
   ▪ We found him in his laboratory, brewing up a strange concoction of psychedelic drugs.",
116,"briefcase","英:/'briːfkeɪs/ 美:/'brifkes/","n. 公文[事]包",
117,"brisk","英:/brɪsk/ 美:/brɪsk/","- adj. 敏锐的，活泼的，轻快的；凛冽的
- vi. 活跃起来；变得轻快
- vt. 使……活泼；使……轻快；使……兴旺


比较级:  
brisker, briskest 

副 词:  
briskly

名 词:  
briskness",
118,"brood","英:/bruːd/ 美:/brud/","- vt. 沉思；孵
- n. 一伙；一窝


时 态:  
brooded, brooding, broods",
119,"brunt","英:/brʌnt/ 美:/brʌnt/","n. 冲击；主要冲力",
120,"bulletin","英:/'bʊlɪtɪn/ 美:/'bʊlətɪn/","- n. 公告，公报
- vt. 公布，公告


时 态:  
bulletined, bulletining, bulletins",
121,"burden","英:/'bɜːd(ə)n/ 美:/'bɝdn/","- n. 负担；责任；船的载货量
- vt. 烦扰；使负担；装货于


时 态:  
burdened, burdening, burdens",
122,"bureaucracy","英:/ˌbjʊ(ə)'rɒkrəsɪ/ 美:/bjʊ'rɑkrəsi/","- n. 政府机构
- 官僚主义, 官僚作风",
123,"burglary","英:/'bɜːglərɪ/ 美:/'bɝɡləri/","- n. 夜盗；夜盗行为
- 入户行窃;入户盗窃罪",
124,"businesslike","英:/'bɪznɪslaɪk/ 美:/'bɪznəs'laɪk/","adj. 事务性的,公事公办的,有条理的,有效率的",
125,"butler","英:/'bʌtlə/ 美:/'bʌtlɚ/","n. 男管家(通常负责管理酒窖)
Butler巴特勒(①姓氏 ②Nicholas Murray, 1862-1947, 美国教育家、政治家, 曾获1931年诺贝尔和平奖)",
126,"caddy","英:/'kædɪ/ 美:/ˈkædi/","- 凯迪拉克（Cadillac）
- n.（尤指用于储存茶叶的）小罐；（装小件物品的）小包；球童",
127,"calibrate","英:/'kælɪbreɪt/ 美:/'kælɪbret/","- vt. 校准
- 使标准化,使合标准
- 测量(枪的)口径

时 态:  
calibrated, calibrating, calibrates 

名 词:  
calibrator",
128,"cannibalism","英:/ˈkænɪbɵlɪzɵm/ 美:/'kænəbl,ɪzəm/","n. 食人；嗜食同类；残忍的行为",
129,"cannon","英:/'kænən/ 美:/'kænən/","- n. 加农炮, 大炮, 火炮
- vi. 与…猛撞
Cannon坎农(姓氏)",
130,"canonicalization","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
131,"capacity","英:/kə'pæsɪtɪ/ 美:/kə'pæsəti/","n. 能力；容量；生产力；资格，地位",
132,"capped","","- v. 给…戴帽；去蒂；覆以…；除去盖子；胜过（cap的过去分词形式）
- adj. 包过的；加盖的；去蒂的",
133,"carabid","英:/'kærəbɪd/ 美:/ˈkærəbɪd/","n. 步行虫,步甲

形容词:  
carabid",
134,"cardigan","英:/'kɑːdɪg(ə)n/ 美:/'kɑrdɪɡən/","n. 羊毛衫，开襟羊毛衫（等于cardigan sweater）",
135,"carpet","英:/'kɑːpɪt/ 美:/'kɑrpɪt/","n. 地毯

时 态:  
carpeted, carpeting, carpets",
