单词,解释
albeit,conj. 即使；虽然
algorithm,"n. 运算法则

形容词:  
algorithmic"
allowance,"n. 津贴, 补助, 零用钱

时 态:  
allowanced, allowancing, allowances"
alluring,"adj. 诱惑的, 迷人的"
ally,"- n. 同盟国；同盟者；助手；伙伴
- vt. 使联盟；使联合
- vi. 结盟；联合

Ally艾丽(女子名, Alice 的昵称)

时 态:  
allied, allying, allies"
alternative,"- adj. 两者择一的, 供替代的
- 不寻常的, 非传统性的
- 非正统的
- n. 取舍, 抉择, 可供选择的事物
- 选择的余地, 可供选择的机会

副 词:  
alternatively"
altogether,"- adv. 全部地, 完全地
- 总共
- 总而言之"
amalgam,n. [采矿]汞合金，汞齐；混合物
amalgamate,"- vt. & vi. (使)(金属)汞齐化
- (使)合并, 联合, 结合

时 态:  
amalgamated, amalgamating, amalgamates 

形容词:  
amalgamative

名 词:  
amalgamator"
ammonia,n. [化]氨，阿摩尼亚
amorphous,"- adj. 无固定形状的
- 非结晶的；非晶态的
- 模糊的
- 无组织的;难以名状的
- 乱七八糟的;难以归类的
- 无一定方向(或目的)的"
ample,"adj. 丰富的；足够的；宽敞的


比较级:  
ampler, amplest 

名 词:  
ampleness

副 词:  
amply"
amygdala,n. 杏仁核；扁桃腺；苦巴旦杏
anchor,"- n. 锚
- 给人安全感的物(或人)
- vt. 抛锚
- 担任(电视节目等的)主持人
- vt. & vi. (把…)系住, (使)固定

时 态:  
anchored, anchoring, anchors"
anchorage,"- n. 停泊处，抛锚处
- 抛锚；停泊
- 停泊税
- 固定物；寄托
Anchorage安克雷奇(美国阿拉斯加州南部的港口城市)"
anecdote,"n. 掌故, 趣闻, 轶事"
anneal,"- vt. 使退火，韧炼；锻炼
- n. 退火；锻炼，磨练


时 态:  
annealed, annealing, anneals"
annotate,"- vi. 注释；给…作注释或评注
- vt. 注释；作注解


时 态:  
annotated, annotating, annotates 

名 词:  
annotator"
announcement,"- n. 通告，布告，通知；预告
- 宣告，宣布"
annual,"- adj. 年度的；每年的
- n. 年刊，年鉴；一年生植物


副 词:  
annually"
anonymous,"- adj. 无名的, 不具名的
- 匿名的"
antagonize,"- vt. 使成为敌人；引起…敌对〔对抗〕
- 对...起反作用；中和

时 态:  
antagonized，antagonizing，antagonizes"
appearance,"- n. 出现, 显露, 露面
- 外观, 外貌, 外表"
appreciate,"- vt. 感激, 感谢
- 欣赏, 赏识, 重视
- 意识到, 体会
- vt. & vi. (使)增值, 涨价

时 态:  
appreciated, appreciating, appreciates 

名 词:  
appreciator

形容词:  
appreciatory"
apprentice,"n. 学徒, 徒弟

时 态:  
apprenticed, apprenticing, apprentices 

名 词:  
apprenticeship"
appropriate,"- adj. 适当的，恰当的
- vt. 挪用；占用；盗用
- 拨出(款项)

时 态:  
appropriated，appropriating，appropriates  

副 词:  
appropriately

形容词:  
appropriative

名 词:  
appropriator"
approximated,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
apt,"- adj. 易于…的, 有…倾向的
- 恰当的, 适宜的
- 聪明的, 灵巧的
APTabbr. Advanced Passenger Train高级旅客列车

副 词:  
aptly

名 词:  
aptness"
archaic,"- adj. 古时的,古代的,古老的
- 陈旧的, 已不通用的
- 古式的；古体的
- 古色古香的"
archer,"n. 弓箭手

Archern. 人马座；人马宫"
archiving,存档
area code,n. 电话地区号
arena,n. 竞技场；舞台
Argentina,"n. 阿根廷(南美洲南部国家)

形容词:  
Argentine"
arm,"- n. 手臂；袖子；武器；装备
- vi. 武装起来
- vt. 武装；备战

ARMabbr. Anti Radar Missile 反雷达导弹

时 态:  
armed, arming, arms 

名 词:  
armer"
armor,"- n. 装甲；盔甲
- vt. 为…装甲


时 态:  
armored, armoring, armors"
array,"- n. 衣服；排列，列阵；大批，一系列；[计]数组，阵列
- vt. 排列，部署；打扮


时 态:  
arrayed, arraying, arrays"
arresting,"adj. 引人注意的,可观的"
arrogant,"adj. 自大的，傲慢的


副 词:  
arrogantly"
assembly,n. 装配；集会，集合
assume,"- vt. 假定；承担；呈现；采取
- vi. 装腔作势；多管闲事


时 态:  
assumed, assuming, assumes 

形容词:  
assumable

副 词:  
assumably"
assure,"vt. 保证；担保；使确信；弄清楚


时 态:  
assured, assuring, assures 

形容词:  
assurable

名 词:  
assurer"
asteroid,"- n. [天文]小行星；海盘车；小游星
- adj. 星状的"
astronomical,"- adj. 天文学的,天体的
- 极大的

副 词:  
astronomically"
asymptotically,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
atlas,"n. 地图集

Atlas寰椎"
autobiography,"- n. 自传
- 自传文学

名 词:  
autobiographer

形容词:  
autobiographic"
autograph,"- n. 亲笔签名
- 亲笔稿；手迹
- vt. 在…上亲笔签名
- 亲笔书写

时 态:  
autographed，autographing，autographs 

副 词:  
autographically"
availability,"- n. 有效;有益;可利用性
- 可得到的东西(或人);可得性"
awe,"- vt. 使敬畏；使畏怯
- n. 敬畏


时 态:  
awed, awing, awes"
back and forth,"反复地，来回地


形容词:  
back-and-forth"
bait,"- n. (钓鱼等用的)饵, 诱饵
- vt. 装饵于
- 故意激怒

时 态:  
baited, baiting, baits"
bake,"vt. & vi. 烤, 烘焙

时 态:  
baked, baking, bakes"
barriers,n. 障碍；栅栏；篱笆墙（barrier的复数形式）
basin,"n. 盆地；盆；水池；流域


形容词:  
basinal"
bastard,"- n. 私生子
- 坏蛋, 混蛋

形容词:  
bastardly"
be fond of,"爱好, 喜欢"
be subjected to,"使经受, 使遭受"
beak,"n. 鸟嘴；鹰钩鼻子；地方执法官；男教师


形容词:  
beaked"
bedeck,"vt. 装饰；修饰


时 态:  
bedecked, bedecking, bedecks"
befall,"- vi. 降临
- vt. 降临；发生


时 态:  
befell 
befallen 
befalling, befalls"
beg,"beg
  [begged, begged, begging]
 beg off 
     beg off • beg off sth to say politely that you cannot do something that other people want or expect you to do:
   ▪ I wanted to have a quiet day, so when the opportunity arose to spend the day on the beach with friends, I begged off.
   beg off doing sth
   ▪ Haney didn't feel too well, so he decided to beg off working that afternoon."
beginner,"- n. 新手;初学者
- 创始人
- 初学者的好运气(或意外成功)；侥幸"
beige,"- n. 米黄色
- adj. 浅褐色的；米黄色的"
belittle,"vt. 轻视；贬低；使相形见小


时 态:  
belittled, belittling, belittles"
bench,"n. 长凳, 长椅

时 态:  
benched, benching, benches"
bend,"bend
  [bent, bent, bending]
 bend down 
     bend down to move your body forwards and down towards the ground, by bending it at the waist or knees:
   ▪ George bent down and kissed the little girl on the cheek.
   + to do sth
   ▪ Suddenly I noticed a silver coin, and I bent down to pick it up.
 be bent on 
    be bent on to have decided to do something and be completely determined to achieve it, especially something that involves violence or destroying something - used to show disapproval
   be bent on doing sth
   ▪ The terrorists seem bent on causing as much disruption as possible before the elections.
   be bent on revenge/vengeance
   ▪ The family could not forgive the girl's killers, and were bent on revenge.
 bend over 
     bend over • bend over sth to move the top part of your body forwards at the waist or shoulders:
   ▪ He bent over his plate, eating hungrily.
   ▪ These trousers are so tight I can hardly bend over!
   be bent over (=be in a position in which you are leaning forward at the waist or shoulders)
   ▪ The two girls were sitting at the table, heads bent over their homework.
   ▪ The woman was bent over, picking up fallen apples."
benediction,"- n. 祝福
- (礼拜结束时的)赐福祈祷
- (大写)(罗马天主教)祈求上帝赐福的仪式
- 恩赐;幸事"
bid,"bid
  [bid, bid, bidding]
 bid on 
     bid on sth if a company bids on a piece of work, it tries to get the work by offering to do it at a particular price, especially when it is competing against other companies.:
   ▪ Local companies have personal contacts and reduced delivery costs, which gives them an advantage when bidding on contracts.
   ▪ Some people claim that there is discrimination against US companies wishing to bid on Japanese projects."
binge,"- n. 狂欢，狂闹；放纵
- vt. 放纵
- vi. 狂饮作乐；大吃大喝


时 态:  
binged, binging, bingeing 
binges 

名 词:  
binger"
bipartite,"adj. 双向的

名 词:  
bipartition"
bitter,"- adj. 有苦味的
- 严寒的，刺骨的
- 辛酸的，引起痛苦的；难以接受的
- 充满仇恨的

比较级:  
bitterer，bitterest 

副 词:  
bitterly

名 词:  
bitterness"
blade,"n. 刀片，刀锋；叶片；剑


形容词:  
bladed"
blast,"blast
  [blasted, blasted, blasting]
 blast away 
  1.   blast away • blast away sb/sth • blast sb/sth away to keep firing a gun continuously:
   ▪ Schwarzenegger grabs a machine gun and blasts away until all the bad guys are dead on the floor.
   + at
   ▪ The farmer started blasting away at the crows with his shotgun.
   ■ SIMILAR TO: ↑blaze away
  2.   blast away sth/sb • blast sth/sb away to destroy something or kill someone by shooting at them or by using explosives:
   ▪ In the film &quot;Magnum Force&quot;, Clint Eastwood blasts away a group of corrupt cops.
   ▪ Small balls of Semtex, powerful enough to blast away doors, were smuggled into the prison.
  3.   blast away if a radio, band etc is blasting away, it is playing music very loudly, especially for a long period of time:
   ▪ At 2am, the band was still blasting away.
   ▪ The teenagers next door have their stereo blasting away all night.
   ■ SIMILAR TO: ↑blare away
  4.   blast away especially AmE to strongly and publicly criticize someone or something - used especially in news reports
   + at
   ▪ He blasted away at city officials, blaming them for the housing shortage.
   ▪ Democrats are expected to blast away at the proposed budget cuts.
 blast off 
     blast off if a spacecraft blasts off, it leaves the ground at the beginning of its journey into space. A spacecraft is a vehicle that can travel in space.:
   ▪ The space shuttle Columbia blasted off Thursday on a 17-day flight around the moon.
   ▪ Next week, a rocket carrying the first Austrian into space will blast off from Cape Canaveral.
   ■ SIMILAR TO: ↑take off, ↑lift off
    blast-off n  U the moment when a spacecraft leaves the ground to begin its journey into space:
   ▪ We have 10 seconds until blast-off.
 blast out 
     blast out sth • blast sth out • blast out if music blasts out or something blasts it out, it is very loud:
   ▪ Rap music was blasting out from the car stereo.
   ▪ The band was blasting out songs from their latest album.
   ■ SIMILAR TO: ↑blare out"
bleed,"- vt. 使出血；榨取
- vi. 流血；渗出；悲痛


时 态:  
bled 
bleeding, bleeds"
blow away,"blow away
  1.   blow sb away • blow away sb informal if a performance, film, book etc blows you away, you think it is extremely good and you are surprised and impressed by how good it is:
   ▪ Calvin blew away the audience with his outstanding performance as Shylock in 'The Merchant of Venice'.
   ▪ When I first heard this record, I was blown away.
  2.   blow sb away • blow away sb informal to kill someone or something by shooting them with a gun:
   ▪ Don't move or I'll blow you away!
   ▪ Clint takes out his 45 Magnum and blows them all away.
  3.   blow away sb • blow sb away informal, especially AmE to defeat someone or something completely:
   ▪ Franklin D. Roosevelt blew away presidential candidate Alf Landon in 1936.
   ▪ The Italian team blew them away in a thrilling game."
boast,"- n. 自吹自擂, 自夸的话
- vt. & vi. 自夸
- vt. 有(引以为荣的事物)

时 态:  
boasted, boasting, boasts 

名 词:  
boaster

形容词:  
boastful"
bog,"bog
  [bogged, bogged, bogging]
 bog down 
  1.  get/become bogged down to become so involved in dealing with something, especially small details or less important things, that you cannot make progress or do the main thing that you want to do
   + over
   ▪ Let's not get bogged down over small details.
   ▪ The peace talks became bogged down over arguments about whether the terrorists should be allowed to keep their weapons.
   + in
   ▪ The French were losing territory, but they did not want to become bogged down in another Asian land war.
  2.   bog down sth • bog sth down • bog down AmE to make something move, work, or happen less quickly and easily:
   ▪ Snow and freezing rain have been bogging down traffic on Connecticut roads this week.
   ▪ Bitter disputes between political parties have bogged the bill down in Congress.
 bog off 
    bog off! BrE spoken informal used to rudely tell someone to go away:
   ▪ Why don't you just bog off and leave me alone?
   ■ SIMILAR TO: ↑piss off  informal"
bog down,"bog down
  1.  get/become bogged down to become so involved in dealing with something, especially small details or less important things, that you cannot make progress or do the main thing that you want to do
   + over
   ▪ Let's not get bogged down over small details.
   ▪ The peace talks became bogged down over arguments about whether the terrorists should be allowed to keep their weapons.
   + in
   ▪ The French were losing territory, but they did not want to become bogged down in another Asian land war.
  2.   bog down sth • bog sth down • bog down AmE to make something move, work, or happen less quickly and easily:
   ▪ Snow and freezing rain have been bogging down traffic on Connecticut roads this week.
   ▪ Bitter disputes between political parties have bogged the bill down in Congress."
boots,n. 擦靴人
botanist,n. 植物学家
branch out,"branch out
     branch out to start doing something different from what you usually do in your business, job etc
   + into
   ▪ Vass was the owner of a shipping company, who for some strange reason had branched out into the fashion industry.
   + from
   ▪ She has now branched out from translating work into writing her own books.
   branch out on your own
   ▪ After five years of working for William Lee in London, Graham was looking for opportunities to branch out on his own."
bravest,adj. 勇敢的
Brazil,"n. 巴西

形容词:  
Brazilian"
breathtaking,"- adj. 非常激动人心的,壮观的
- 惊人的；惊险的
- 使人透不过气来的"
brew,"brew
  [brewed, brewed, brewing]
 brew up 
  1.   brew up • brew up sth BrE informal to make a drink of tea or coffee:
   ▪ Every two hours the men would stop work to brew up and have a cigarette.
   ▪ I spent the day reading novels and brewing up endless cups of tea.
  2.  be brewing up especially BrE if trouble or a situation in which people argue or fight with each other is brewing up, it is starting to develop:
   ▪ The CIA were aware that a civil war was brewing up in Nicaragua.
  3.   brew up sth • brew sth up  usually progressive to secretly plan something that will cause trouble:
   ▪ I knew that the kids were brewing something up but I wasn't sure what it was.
   ▪ Racist organizations are brewing up mischief wherever they can.
  4.   brew up sth to make a mixture of drugs, medicines etc:
   ▪ We found him in his laboratory, brewing up a strange concoction of psychedelic drugs."
briefcase,n. 公文[事]包
brisk,"- adj. 敏锐的，活泼的，轻快的；凛冽的
- vi. 活跃起来；变得轻快
- vt. 使……活泼；使……轻快；使……兴旺


比较级:  
brisker, briskest 

副 词:  
briskly

名 词:  
briskness"
brood,"- vt. 沉思；孵
- n. 一伙；一窝


时 态:  
brooded, brooding, broods"
brunt,n. 冲击；主要冲力
bulletin,"- n. 公告，公报
- vt. 公布，公告


时 态:  
bulletined, bulletining, bulletins"
burden,"- n. 负担；责任；船的载货量
- vt. 烦扰；使负担；装货于


时 态:  
burdened, burdening, burdens"
bureaucracy,"- n. 政府机构
- 官僚主义, 官僚作风"
burglary,"- n. 夜盗；夜盗行为
- 入户行窃;入户盗窃罪"
businesslike,"adj. 事务性的,公事公办的,有条理的,有效率的"
butler,"n. 男管家(通常负责管理酒窖)
Butler巴特勒(①姓氏 ②Nicholas Murray, 1862-1947, 美国教育家、政治家, 曾获1931年诺贝尔和平奖)"
caddy,"- 凯迪拉克（Cadillac）
- n.（尤指用于储存茶叶的）小罐；（装小件物品的）小包；球童"
calibrate,"- vt. 校准
- 使标准化,使合标准
- 测量(枪的)口径

时 态:  
calibrated, calibrating, calibrates 

名 词:  
calibrator"
cannibalism,n. 食人；嗜食同类；残忍的行为
cannon,"- n. 加农炮, 大炮, 火炮
- vi. 与…猛撞
Cannon坎农(姓氏)"
canonicalization,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
capacity,n. 能力；容量；生产力；资格，地位
capped,"- v. 给…戴帽；去蒂；覆以…；除去盖子；胜过（cap的过去分词形式）
- adj. 包过的；加盖的；去蒂的"
carabid,"n. 步行虫,步甲

形容词:  
carabid"
cardigan,n. 羊毛衫，开襟羊毛衫（等于cardigan sweater）
carpet,"n. 地毯

时 态:  
carpeted, carpeting, carpets"
cart,"cart
  [carted, carted, carting]
 cart off 
     cart off sb • cart sb off informal to take someone away, especially to prison or hospital:
   ▪ I collapsed on the pitch, and was carted off on a stretcher.
   ▪ Kirk was arrested and carted off to prison.
   ■ SIMILAR TO: ↑take off"
cast,"cast
  [cast, cast, casting]
 cast around/about for 
  1.   cast around/about/round for sth to try to think of something to do or say, especially when this is difficult and you need to think of something quickly:
   ▪ &quot;Where's your homework, Jackie?&quot; Jackie cast around for an excuse.
   ▪ He cleared his throat, casting about for something to say.
  2.   cast around/about/round for sb/sth to try to find someone or something, especially when this is difficult:
   ▪ Meanwhile the bank has been casting around for a new chief executive.
   ▪ Miles suddenly felt faint, and cast around for a chair.
 cast aside 
  1.   cast aside sb/sth • cast sb/sth aside formal to get rid of someone or something because you do not like them or need them any more:
   ▪ When Henry became King, he cast aside his former friends.
   ▪ Casting aside his military ambitions, Von Langen now launched himself on a political career.
  2.   cast aside sth • cast sth aside formal to get rid of negative feelings:
   ▪ Peace campaigners hope that one day Catholics and Protestants will cast aside centuries of hostility, and live together in peace.
   ▪ Every year thousands of northern Europeans cast their inhibitions aside, and head for Greece's nudist beaches.
   ■ SIMILAR TO: ↑cast off
 be cast away 
    be cast away to be left on an island where there are no other people, because your ship has sunk:
   ▪ If you were cast away on a desert island, do you think you'd be able to survive?
    castaway n  C someone who has been left on an island where there are no other people, because their ship has sunk:
   ▪ In stories the castaway always puts a message in a bottle and throws it out to sea.
 cast back 
    cast your mind back to try to remember something that happened in the past
   + to
   ▪ If you cast your mind back to your school chemistry lessons, you may recall that a &quot;catalyst&quot; is a substance that speeds up a chemical reaction.
 cast down 
  1.  be cast down formal to be sad and upset because something bad has happened:
   ▪ Churchill was obviously cast down by the new of this defeat.
   ▪ &quot;What is the matter?&quot; asked Betty anxiously. She couldn't remember ever seeing Lydia so miserable and cast down.
    downcast adj  sad and upset because something bad has happened:
   ▪ the sad, downcast faces of disappointed men
  2.  cast your eyes/a glance down formal to look down, especially because you are shy or ashamed:
   ▪ Diana cast her eyes down demurely and started blushing.
   ▪ She cast a glance down at the table to avoid his stare.
  3.   cast down sth • cast sth down old-fashioned, formal to destroy something completely:
   ▪ All across the continent, earthquakes cast down the cities and levelled the mountains.
 cast off 
  1.   cast off sth • cast sth off formal to get rid of something because you do not need it any more, or because it is stopping you from making progress:
   ▪ It was time to grow up, time to cast off childish things.
   ▪ Under colonial rule, the people had been encouraged to cast off their old traditions and adopt a western lifestyle.
   ■ SIMILAR TO: ↑cast aside
    cast-offs n  plural clothes that you do not wear any more and give to someone else:
   ▪ When I was a kid I always had to wear my older brother's cast-offs.
  2.   cast off to untie the rope that fastens your boat to the shore, so that you can sail away:
   ▪ It was perfect sailing weather. We cast off from San Diego and set sail for the Philippine Islands.
  3.   cast off • cast off sth • cast sth off to finish something you have been knitting by taking the last stitches off the needle in a way that stops it from coming undone. When you knit, you make something out of wool using two long needles.:
   ▪ Knit three rows in plain knitting. Cast off all stitches. Cut off wool. ►  compare  ↑cast on
 cast on 
     cast on • cast on sth • cast sth on to start something that you are knitting by making the first stitches on the needle. When you knit, you make something out of wool using two long needles.:
   ▪ Cast on and knit a few rows of stocking stitch in your main yarn. ►  compare  ↑cast off
 cast out 
  1.   cast out sb • cast sb out formal to force someone to leave a place, especially the place where they live, because you disapprove of them or something they have done:
   ▪ He had been cast out by his family when they discovered that he was gay.
   +of
   ▪ Adam and Eve were cast out of the Garden of Eden after eating the forbidden fruit.
    outcast n  C someone who is not accepted by the other people in their society:
   ▪ In these health-conscious times, smokers are often treated like social outcasts.
  2.   cast out sth • cast sth out literary to force something to go away or disappear:
   ▪ Jesus had the power to heal diseases and cast out demons.
 cast round  BrE
   ► see cast around
 cast up 
     cast up sth • cast sth up  usually passive especially BrE if the sea casts something up, it brings it to the shore:
   ▪ The body was cast up a few miles down the coast.
   +on
   ▪ a beautiful shell that had been cast up on the shore
   ■ SIMILAR TO: ↑wash up"
cease,"vt. & vi. 停止, 终止, 结束

时 态:  
ceased, ceasing, ceases"
celibate,"- n. 独身者
- adj. 独身的；禁欲的"
cello,"n. 大提琴


名 词:  
cellist

形容词:  
cello"
cement,"- n. 水泥
- 接合剂, 黏合物
- vt. 在…上抹水泥
- 粘牢
- 巩固, 加强

时 态:  
cemented, cementing, cements 

名 词:  
cementer"
cemented,灌水泥的
central fatty acids,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
centroid,n. 质心
chamber,"- n. （身体或器官内的）室，膛；房间；会所
- adj. 室内的；私人的，秘密的
- vt. 把…关在室内；装填（弹药等）


时 态:  
chambered, chambering, chambers"
charcoal,"n. 炭, 木炭

时 态:  
charcoaled, charcoaling, charcoals"
charge,"charge
  [charged, charged, charging]
 charge up 
  1.   charge up sth • charge sth up • charge up if you charge up a battery or a piece of electrical equipment, or it charges up, electricity is put into it and stored so that it has power:
   ▪ How long will it take for the batteries to charge up?
   ▪ The shaver can be charged up overnight.
  2.   charge up sth AmE if you charge up a credit card, you use it a lot to buy things, with the result that you owe a lot of money. A credit card is a small plastic card you use to buy goods or services and pay for them later.:
   ▪ When I lost my job I had to charge up all my credit cards just to pay the bills.
   ▪ Karen charged up her Visa card on a shopping trip to Macy's.
  3.  be charged up AmE to feel excited and very eager to do something:
   ▪ We came out onto the playing field, charged up and determined to win.
 charge with 
  1.   charge sb with sth to state officially that you think someone is guilty of a crime, especially so that a court of law can decide whether they should be punished:
   ▪ Police arrested Reid and charged him with murder.
   ▪ He was charged with possession of illegal drugs.
   charge sb with doing sth
   ▪ Ames was charged with spying for the Russians.
  2.  be charged with sth formal to officially have a particular responsibility or duty:
   ▪ The Committee is charged with investigating the causes of the accident.
   ▪ The board was charged with the task of seeing that new courses were of the right standard.
  3.  be charged with emotion/anger/excitement formal to be full of emotion, anger, or excitement:
   ▪ Sabrina's voice was charged with emotion, and I could see that she was still upset."
